name,poor,weak,moderate,long_lasting,very_long_lasting
Femme III Alexandre Marc for women,0,0,0,0,0
Femme IV Alexandre Marc for women,0,0,0,0,0
Homme I Alexandre Marc for men,0,0,0,0,0
Homme II Alexandre Marc for men,0,0,0,0,0
Homme III Alexandre Marc for men,0,0,0,0,0
Homme IV Alexandre Marc for men,0,0,0,0,0
Avon Flourish Peony Rose Avon for women,1,0,0,1,1
Live Out Loud Avon for women,0,1,1,2,0
L'Homme Emanuel Ungaro for men,3,3,3,5,1
Immortal Beloved House of Cherry Bomb for women and men,0,0,0,0,2
Pink Haze House of Cherry Bomb for women and men,0,0,0,0,0
Rebel Angel House of Cherry Bomb for women,0,0,0,1,0
Tobacco Cognac House of Cherry Bomb for women and men,1,1,1,4,0
Truth or Dare House of Cherry Bomb for women,0,0,0,0,2
1000 Years After I Am Gone Scent by Alexis for women and men,0,0,0,0,0
Black Magick Scent by Alexis for women and men,0,0,0,0,0
Black Valentine Scent by Alexis for women and men,0,0,0,0,0
Blue Angel Scent by Alexis for women and men,0,0,0,0,0
Body Made Luminous Scent by Alexis for women and men,0,0,1,0,5
Courtesan Scent by Alexis for women,0,0,0,0,1
Dark Matter Scent by Alexis for women and men,0,0,0,0,3
Dreaming Etermal Scent by Alexis for women and men,0,0,0,0,0
Duchess Scent by Alexis for women,0,0,0,0,1
Eve's Revenge Scent by Alexis for women,0,0,0,0,1
Femme Fatale Scent by Alexis for women,0,0,0,0,0
Goodess Scent by Alexis for women and men,0,0,0,0,0
History In a Minor Key Scent by Alexis for women and men,0,0,0,0,0
Immortal Mine Scent by Alexis for women and men,0,0,0,1,0
Pretty Things Scent by Alexis for women and men,0,0,0,0,0
Red Velvet Scent by Alexis for women,0,0,0,0,0
Requiem for the Immortal Scent by Alexis for women and men,0,0,0,0,1
"Secret, Sacred, Cyphered Scent by Alexis for women and men",0,0,0,0,1
The Death of Rave Scent by Alexis for women and men,0,0,0,0,0
The Exquisite Inevitable Scent by Alexis for women and men,0,0,0,0,0
The Harmony of Being Scent by Alexis for women and men,0,0,0,0,0
The Mourning of Lost Souls Scent by Alexis for women and men,0,0,0,0,0
The Poetry of Longing Scent by Alexis for women and men,0,0,0,0,0
The Voluptuous Horror Scent by Alexis for women and men,0,0,1,0,2
Venus in Furs Scent by Alexis for women,0,0,0,0,1
Vixen Scent by Alexis for women and men,0,0,0,0,1
White Magick Scent by Alexis for women and men,0,0,0,0,0
White Sable Scent by Alexis for women,0,0,0,0,0
Etiquette Bleue D'Orsay for women and men,2,3,5,6,3
Gold I WIDIAN for women and men,4,1,2,10,7
Gold II WIDIAN for women and men,1,2,2,7,17
I WIDIAN for women and men,4,3,4,18,20
II WIDIAN for women and men,4,5,7,17,8
III WIDIAN for women and men,2,4,4,15,1
IV WIDIAN for women and men,3,3,14,7,8
V WIDIAN for women and men,1,3,6,6,11
VII WIDIAN for women and men,2,0,0,8,1
Ghala Jazeel for women and men,0,0,0,0,1
Absinthe-Minded Anka Kuş Parfüm for women and men,0,0,3,3,0
Entice Ayliroma for women and men,1,0,1,3,1
My Sweetie Ayliroma for women and men,0,0,0,2,0
Persianality Ayliroma for women and men,1,1,1,3,4
Sea Symphony Ayliroma for women and men,0,0,2,7,0
Sherlock Holmes Ayliroma for women and men,0,0,1,2,1
Tipsy Narcissus (نرگس مست) Ayliroma for women and men,0,0,0,1,0
Bel Epoq Regime des Fleurs for women and men,0,1,2,0,0
Chloë Sevigny Little Flower Regime des Fleurs for women and men,5,0,3,2,3
Dove Grey Regime des Fleurs for women and men,0,0,0,0,1
Fauna Regime des Fleurs for women and men,0,0,1,2,1
