name,poor,weak,moderate,long_lasting,very_long_lasting
Black Afgano Nasomatto for women and men,76,55,66,164,551
Blamage Nasomatto for women and men,14,12,25,41,76
China White Nasomatto for women,10,1,15,16,35
Duro Nasomatto for men,29,29,40,62,142
Hindu Grass Nasomatto for women and men,10,5,25,39,15
Narcotic Venus Nasomatto for women,16,16,30,67,33
Nuda Nasomatto for women,4,5,5,23,12
Nudiflorum Nasomatto for women and men,8,3,9,16,44
Pardon Nasomatto for men,37,35,57,93,221
Silver Musk Nasomatto for women and men,4,3,6,39,18
Bergamask Orto Parisi for women and men,12,1,7,19,41
Boccanera Orto Parisi for women and men,9,6,18,10,49
Brutus Orto Parisi for women and men,4,4,11,8,12
Megamare Orto Parisi for women and men,10,4,9,3,29
Seminalis Orto Parisi for women and men,4,7,7,14,59
Stercus Orto Parisi for women and men,10,7,9,20,52
Terroni Orto Parisi for women and men,5,4,12,14,70
Viride Orto Parisi for women and men,9,5,13,14,16
8 Every Moment Abercrombie & Fitch for women,0,1,1,0,0
Cuir Curcuma Affinessence for women and men,1,2,1,5,0
Santal Basmati Affinessence for women and men,5,5,15,2,1
Beloved Man Amouage for men,13,15,30,103,26
Honour Woman Amouage for women,21,16,56,111,36
